Subsequence,Frequency,Rank
O)(,31,371
(O)[,31,372
(O)[C,31,373
(O)[C@,31,374
C[C@H](,31,375
)c2c,31,376
@H](N,31,377
H](N,31,378
CC(C,31,379
Oc1cc,31,380
O)CC,31,381
N(C),31,382
@]1,31,383
[C@@H](C,31,384
C@@H](C,31,385
@@H](C,31,386
cc2),31,387
C[C@],31,388
3CC,31,389
C4,31,390
c1n,30,391
1n,30,392
[C@H](C,30,393
C@H](C,30,394
)[C@@H](,30,395
O)[C@H,30,396
O)[C@H],30,397
)[C@H](,30,398
CC(C),30,399
COc,30,400
COc1,30,401
2c(,30,402
C)CC,30,403
(-,30,404
ccc3,30,405
]3C,30,406
2ccccc,30,407
(C)[,30,408
@H](O)[,29,409
@H](O)[C,29,410
@H](O)[C@,29,411
H](O)[,29,412
H](O)[C,29,413
H](O)[C@,29,414
](O)[,29,415
](O)[C,29,416
](O)[C@,29,417
C[C@@H](,29,418
c2c(,29,419
COC(,29,420
)=O),29,421
O)cc,29,422
c(Cl,29,423
c(Cl),29,424
c(-,29,425
@H]3C,29,426
H]3C,29,427
C3,29,428
c2ccccc,29,429
C(C)=,29,430
(C)=,29,431
C)=,29,432
C(C(,29,433
)N2,29,434
N2C,29,435
=O)[C,29,436
=O)[C@,29,437
(C)[C,29,438
(C)[C@,29,439
CC[C@@H,29,440
CC[C@@H],29,441
cc2c,29,442
(=O)c1,29,443
cc(OC,29,444
N(C)C,28,445
=O)OC,28,446
O)OC,28,447
c(C(,28,448
[C@@H]1C,28,449
C@@H]1C,28,450
@@H]1C,28,451
ccccc2,28,452
N1,28,453
C(C(=,28,454
C(C(=O,28,455
C(C(=O),28,456
1(,28,457
O)N2,28,458
)cc2,28,459
COc1c,27,460
(=O)OC,27,461
c(Cl)c,27,462
(Cl)c,27,463
(-c,27,464
c2ccccc2,27,465
2ccccc2,27,466
(NC(,27,467
(NC(=,27,468
(NC(=O,27,469
(NC(=O),27,470
4c,27,471
O)c1ccc,27,472
C(=O)[C,27,473
C(=O)[C@,27,474
(=O)[C,27,475
(=O)[C@,27,476
@H]1CC,27,477
H]1CC,27,478
]1CC,27,479
CNC,27,480
(=O)c1c,27,481
=O)c1c,27,482
Nc1,26,483
c1nc,26,484
1nc,26,485
[C@@H](O),26,486
C@@H](O),26,487
@@H](O),26,488
2n,26,489
[nH]c,26,490
nH]c,26,491
H]c,26,492
]c,26,493
[N,26,494
)CCC,26,495
(C)c,26,496
C(=O)OC,26,497
ccc(N,26,498
O)=,26,499
c(-c,26,500
[C@H]3,26,501
C@H]3,26,502
C(C(=O)O,26,503
21,26,504
[C@@H]3,26,505
C@@H]3,26,506
@@H]3,26,507
(=O)(,25,508
=O)(,25,509
+],25,510
Cc1ccc,25,511
)c1ccc(,25,512
@H]2[,25,513
@H]2[C,25,514
@H]2[C@,25,515
H]2[,25,516
H]2[C,25,517
H]2[C@,25,518
]2[,25,519
]2[C,25,520
]2[C@,25,521
1cc(,25,522
c4c,25,523
cc3),25,524
n2,24,525
1O,24,526
c2n,24,527
CCC(=,24,528
CCC(=O,24,529
CCC(=O),24,530
CC(=O)O,24,531
[C@@H](N,24,532
C@@H](N,24,533
@@H](N,24,534
COc1cc,24,535
(C)C),24,536
C)C),24,537
)C),24,538
COC(=,24,539
COC(=O,24,540
COC(=O),24,541
-c2,24,542
]12,24,543
nn,24,544
2ccc(,24,545
C[C@@],24,546
)c3c,24,547
