Subsequence,Frequency,Rank
=O)N2[C,12,1361
=O)N2[C@,12,1362
O)N2[,12,1363
O)N2[C,12,1364
O)N2[C@,12,1365
)N2[,12,1366
)N2[C,12,1367
)N2[C@,12,1368
N2[,12,1369
N2[C,12,1370
N2[C@,12,1371
C)c(,12,1372
c2cc(,12,1373
c(C)c,12,1374
CC(=O)N,12,1375
O=C(,12,1376
(OCC,12,1377
CC2),12,1378
c1C(=,12,1379
c1C(=O,12,1380
c1C(=O),12,1381
2)c1,12,1382
Cc2c,12,1383
@H]3[,12,1384
@H]3[C,12,1385
@H]3[C@,12,1386
H]3[,12,1387
H]3[C,12,1388
H]3[C@,12,1389
]3[,12,1390
]3[C,12,1391
]3[C@,12,1392
C(=O)c1ccc,12,1393
CCNC,12,1394
c(Nc,12,1395
Nc1n,11,1396
)(O,11,1397
O)[C@@H]1,11,1398
c1cc2,11,1399
1cc2,11,1400
O)[C@H](O,11,1401
O)[C@H](O),11,1402
C/C=C\,11,1403
C/C=C\C,11,1404
/C=C\,11,1405
/C=C\C,11,1406
ccc([,11,1407
([C,11,1408
([C@,11,1409
@]2(,11,1410
]2(,11,1411
Cn1,11,1412
Cn1c,11,1413
(=O)c2c,11,1414
=O)c2c,11,1415
c1ccc(N,11,1416
1ccc(N,11,1417
)cc1),11,1418
CCc1,11,1419
c(N)n,11,1420
(N)n,11,1421
N)n,11,1422
(N)c,11,1423
ccc(-,11,1424
cc(-c2,11,1425
c(-c2ccc,11,1426
(-c2ccc,11,1427
1[C,11,1428
1[C@,11,1429
)C2,11,1430
)OC(,11,1431
1C[,11,1432
1C[C,11,1433
1C[C@,11,1434
@H]1c1cc,11,1435
@H]1c1ccc,11,1436
@H]1c1cccc,11,1437
H]1c1cc,11,1438
H]1c1ccc,11,1439
H]1c1cccc,11,1440
]1c1cc,11,1441
]1c1ccc,11,1442
]1c1cccc,11,1443
CC1(,11,1444
C1(C),11,1445
@H]2[C@H,11,1446
@H]2[C@H],11,1447
H]2[C@H,11,1448
H]2[C@H],11,1449
]2[C@H,11,1450
]2[C@H],11,1451
(N)(,11,1452
[C@]1(,11,1453
C@]1(,11,1454
)CS,11,1455
S[C@@H]2,11,1456
(Oc,11,1457
1)C(,11,1458
[C@H]1C(=,11,1459
[C@H]1C(=O,11,1460
C@H]1C(=,11,1461
C@H]1C(=O,11,1462
C@H]1C(=O),11,1463
@H]1C(=O)N,11,1464
H]1C(=O)N,11,1465
H]1C(=O)N2,11,1466
]1C(=O)N,11,1467
]1C(=O)N2,11,1468
c4ccc,11,1469
4ccc,11,1470
(C)[C@H,11,1471
(C)[C@H],11,1472
]3CCC,11,1473
C)CCC,11,1474
CCCN,11,1475
(CC),11,1476
@H](O)c1,11,1477
@H](O)c1c,11,1478
@H](O)c1cc,11,1479
H](O)c1,11,1480
H](O)c1c,11,1481
H](O)c1cc,11,1482
H](O)c1ccc,11,1483
](O)c1,11,1484
](O)c1c,11,1485
](O)c1cc,11,1486
](O)c1ccc,11,1487
CN1,11,1488
1CCN(,11,1489
N[C@@H](,11,1490
C(=O)N[C@H,11,1491
(=O)N[C@H,11,1492
(=O)N[C@H],11,1493
=O)N[C@H,11,1494
=O)N[C@H],11,1495
O)N[C@H,11,1496
O)N[C@H],11,1497
c1ccccc1),11,1498
1ccccc1),11,1499
ccccc1),11,1500
cccc1),11,1501
ccc1),11,1502
=CC(,11,1503
=CC(=,11,1504
=CC(=O,11,1505
=CC(=O),11,1506
[N+](=,11,1507
[N+](=O,11,1508
[N+](=O),11,1509
[N+](=O)[,11,1510
[N+](=O)[O,11,1511
N+](=,11,1512
N+](=O,11,1513
N+](=O),11,1514
N+](=O)[,11,1515
N+](=O)[O,11,1516
N+](=O)[O-,11,1517
+](=,11,1518
+](=O,11,1519
+](=O),11,1520
+](=O)[,11,1521
+](=O)[O,11,1522
+](=O)[O-,11,1523
+](=O)[O-],11,1524
](=,11,1525
](=O,11,1526
](=O),11,1527
](=O)[,11,1528
](=O)[O,11,1529
](=O)[O-,11,1530
](=O)[O-],11,1531
)CC[C@@,11,1532
NC(=O)c1,11,1533
c(NC,11,1534
Nc3cc,11,1535
(NC(=O)[,11,1536
(NC(=O)[C,11,1537
(NC(=O)[C@,11,1538
N3C,11,1539
c1ccc(OC,11,1540
1ccc(OC,11,1541
)c(OC,11,1542
CC1=,11,1543
/C=C/C,11,1544
C=C/C,11,1545
=C/C(,11,1546
c(OCC,11,1547
2CCC,11,1548
C2)c,11,1549
@H](CC,11,1550
H](CC,11,1551
](CC,11,1552
cc21,11,1553
C(=O)[C@H,11,1554
C(=O)[C@H],11,1555
(=O)[C@H,11,1556
(=O)[C@H],11,1557
=O)[C@H,11,1558
=O)[C@H],11,1559
C(N)=,11,1560
(N)=,11,1561
N)=,11,1562
CC[C@@H]2,11,1563
2CC[,11,1564
1CC[C@@,11,1565
OC(=O)c,11,1566
C1C,11,1567
C1CC,11,1568
[C@H]1O,10,1569
C@H]1O,10,1570
)[C@@H](O),10,1571
)[C@H](O)[,10,1572
@H](N),10,1573
H](N),10,1574
Oc1cccc,10,1575
O)CCC,10,1576
CCC[,10,1577
CCC[C,10,1578
CCC[C@,10,1579
CC[C@H]2,10,1580
[C@H]2C,10,1581
C@H]2C,10,1582
cc(Cl)cc,10,1583
[C@]12,10,1584
[C@]12C,10,1585
C@]12,10,1586
C@]12C,10,1587
2[C@@H]1,10,1588
(c2c,10,1589
/C(=,10,1590
c1ccc(O),10,1591
c1ccc(O)c,10,1592
1ccc(O),10,1593
1ccc(O)c,10,1594
ccc(O)cc,10,1595
1)c,10,1596
1)c1,10,1597
1)c1c,10,1598
C(C)C),10,1599
CC1(C,10,1600
CC1(C),10,1601
)O[C@H,10,1602
)O[C@H],10,1603
[C@H]2[,10,1604
[C@H]2[C,10,1605
[C@H]2[C@,10,1606
C@H]2[,10,1607
C@H]2[C,10,1608
C@H]2[C@,10,1609
23,10,1610
23),10,1611
c(O)c(,10,1612
(O)c(,10,1613
1)C(=,10,1614
1)C(=O,10,1615
1)C(=O),10,1616
@H](C(,10,1617
H](C(,10,1618
](C(,10,1619
ccc(C(,10,1620
)CC[C@H,10,1621
)CC[C@H],10,1622
@H]3CCC,10,1623
H]3CCC,10,1624
cc2c(c,10,1625
)C(C),10,1626
CCN(CC),10,1627
CN(CC),10,1628
N(CC),10,1629
(CC)C,10,1630
c1ccc2,10,1631
1ccc2,10,1632
c(S,10,1633
sc,10,1634
CN1C,10,1635
)N[C@@,10,1636
)N[C@@H,10,1637
)N[C@@H],10,1638
N[C@@H](C,10,1639
)S,10,1640
)c1ccccc,10,1641
)c1ccccc1,10,1642
Nc2,10,1643
CC(C)(C,10,1644
CC(C)(C),10,1645
)NC[,10,1646
)NC[C,10,1647
)NC[C@,10,1648
)[C@@H]1C,10,1649
@]4,10,1650
CNC(=O)c,10,1651
NC(=O)c1c,10,1652
Nc3ccc,10,1653
)c(C(,10,1654
C(F)(F)F,10,1655
(F)(F)F,10,1656
F)(F)F,10,1657
)(F)F,10,1658
](NC(=O)[,10,1659
](NC(=O)[C,10,1660
c3)C,10,1661
Nc1ccc,10,1662
N=,10,1663
)n1,10,1664
CCC1,10,1665
=O)N1,10,1666
O)N1,10,1667
Cc2cc,10,1668
C(N)=O,10,1669
(N)=O,10,1670
N)=O,10,1671
[C@@]1,10,1672
C@@]1,10,1673
@@]1,10,1674
CN(C)CC,10,1675
N(C)CC,10,1676
CC3)c,10,1677
C3)c,10,1678
C)C(=,10,1679
C)C(=O,10,1680
C)C(=O),10,1681
C[C@@H]1,10,1682
cc(OC),10,1683
cc(OC)c,10,1684
@]12CC,10,1685
]12CC,10,1686
12CC,10,1687
2CC[C,10,1688
2CC[C@,10,1689
)cc(,10,1690
@](,10,1691
C4),10,1692
Nc1nc,9,1693
ncnc,9,1694
cn2,9,1695
2[C@H]1,9,1696
1O[,9,1697
1O[C,9,1698
1O[C@,9,1699
](CO,9,1700
)(O),9,1701
O)[C@@H](O,9,1702
nc3,9,1703
3n,9,1704
@H](O)CO,9,1705
H](O)CO,9,1706
](O)CO,9,1707
(O)CO,9,1708
C(=O)[O,9,1709
C(=O)[O-,9,1710
C(=O)[O-],9,1711
C/C=C\C/,9,1712
C/C=C\C/C,9,1713
C/C=C\C/C=,9,1714
/C=C\C/,9,1715
/C=C\C/C,9,1716
/C=C\C/C=,9,1717
/C=C\C/C=C,9,1718
C=C\C/,9,1719
C=C\C/C,9,1720
C=C\C/C=,9,1721
C=C\C/C=C,9,1722
C=C\C/C=C\,9,1723
=C\C/,9,1724
=C\C/C,9,1725
=C\C/C=,9,1726
=C\C/C=C,9,1727
=C\C/C=C\,9,1728
=C\C/C=C\C,9,1729
C\C/,9,1730
C\C/C,9,1731
C\C/C=,9,1732
C\C/C=C,9,1733
C\C/C=C\,9,1734
C\C/C=C\C,9,1735
\C/,9,1736
\C/C,9,1737
\C/C=,9,1738
\C/C=C,9,1739
\C/C=C\,9,1740
\C/C=C\C,9,1741
CCCC(,9,1742
N)C,9,1743
)Cc,9,1744
COc1cccc,9,1745
(O)CC,9,1746
)CCCC,9,1747
)c2c(,9,1748
)(=O)=O)c,9,1749
(=O)=O)c,9,1750
=O)=O)c,9,1751
O)=O)c,9,1752
ccc(Cl)cc,9,1753
ccc(-c,9,1754
c(C(=O)O,9,1755
@H]1C[,9,1756
@H]1C[C,9,1757
@H]1C[C@,9,1758
H]1C[,9,1759
H]1C[C,9,1760
H]1C[C@,9,1761
]1C[,9,1762
]1C[C,9,1763
]1C[C@,9,1764
NC(=O)C,9,1765
(c2cc,9,1766
(c2ccc,9,1767
cc1)c,9,1768
cc1)c1,9,1769
cc1)c1c,9,1770
c1)c,9,1771
c1)c1,9,1772
c1)c1c,9,1773
1)c1cc,9,1774
C)[C@H]1,9,1775
3(,9,1776
S(N,9,1777
S(N),9,1778
S(N)(,9,1779
S(N)(=,9,1780
S(N)(=O,9,1781
S(N)(=O),9,1782
S(N)(=O)=,9,1783
S(N)(=O)=O,9,1784
(N)(=,9,1785
(N)(=O,9,1786
(N)(=O),9,1787
(N)(=O)=,9,1788
(N)(=O)=O,9,1789
N)(=,9,1790
N)(=O,9,1791
N)(=O),9,1792
N)(=O)=,9,1793
N)(=O)=O,9,1794
)C(=O)N2,9,1795
c2[,9,1796
(Cc1,9,1797
(Cc1c,9,1798
c(Oc,9,1799
)c2),9,1800
O[C@@H](,9,1801
[C@@H](O)C,9,1802
C@@H](O)C,9,1803
@@H](O)C,9,1804
O)O[,9,1805
O)O[C,9,1806
O)O[C@,9,1807
N[C@H]1,9,1808
N[C@H]1C,9,1809
C=C(,9,1810
)[C@H]1C,9,1811
ccc(C(=,9,1812
ccc(C(=O,9,1813
ccc(C(=O),9,1814
)[C@H](C,9,1815
[C@H](C),9,1816
C@H](C),9,1817
C4=CC,9,1818
4=CC,9,1819
)C(C)(,9,1820
)C(C)(C,9,1821
)C(C)(C),9,1822
CCN(CC)C,9,1823
CN(CC)C,9,1824
N(CC)C,9,1825
](O)c1ccc(,9,1826
(O)c1ccc(,9,1827
c(S(,9,1828
(S(,9,1829
(C(=O)N[,9,1830
(C(=O)N[C,9,1831
(C(=O)N[C@,9,1832
(=O)N[C@@,9,1833
(=O)N[C@@H,9,1834
=O)N[C@@,9,1835
=O)N[C@@H,9,1836
=O)N[C@@H],9,1837
O)N[C@@,9,1838
O)N[C@@H,9,1839
O)N[C@@H],9,1840
@H]2C(,9,1841
@H]2C(=,9,1842
@H]2C(=O,9,1843
@H]2C(=O),9,1844
H]2C(,9,1845
H]2C(=,9,1846
H]2C(=O,9,1847
H]2C(=O),9,1848
]2C(,9,1849
]2C(=,9,1850
]2C(=O,9,1851
]2C(=O),9,1852
(C)S,9,1853
C)S,9,1854
3)c2,9,1855
cc2)C,9,1856
C1=O,9,1857
=CC(=O)C,9,1858
=O)CC[,9,1859
=O)CC[C,9,1860
=O)CC[C@,9,1861
NC[C@H,9,1862
NC[C@H],9,1863
C[C@H](O)C,9,1864
CCOCC,9,1865
-])c,9,1866
])c,9,1867
O)CC[C@@,9,1868
CC[C@@],9,1869
C[C@]12,9,1870
C[C@]12C,9,1871
cc(NC,9,1872
cc(NC(,9,1873
cc(NC(=,9,1874
cc(NC(=O,9,1875
cc(NC(=O),9,1876
c(NC(,9,1877
c(NC(=,9,1878
c(NC(=O,9,1879
c(NC(=O),9,1880
(F)F),9,1881
F)F),9,1882
)F),9,1883
3)cc2,9,1884
C(O,9,1885
C(O),9,1886
C)[C@@H]1,9,1887
C@@H]2[C@@,9,1888
@@H]2[C@@,9,1889
@@H]2[C@@H,9,1890
H](NC(=O)[,9,1891
)c3ccccc3),9,1892
cc3)C,9,1893
[C@@H]1C(,9,1894
C@@H]1C(,9,1895
@@H]1C(,9,1896
(OC(=,9,1897
(OC(=O,9,1898
(OC(=O),9,1899
C(C)(C)[,9,1900
C(C)(C)[C,9,1901
C(C)(C)[C@,9,1902
(C)(C)[,9,1903
(C)(C)[C,9,1904
(C)(C)[C@,9,1905
C)(C)[,9,1906
C)(C)[C,9,1907
C)(C)[C@,9,1908
)(C)[,9,1909
)(C)[C,9,1910
)(C)[C@,9,1911
cccc2c,9,1912
ccc2c1,9,1913
cc2c1,9,1914
cc(OCC,9,1915
O)C[,9,1916
O)C[C,9,1917
O)C[C@,9,1918
)=O)C,9,1919
c1Cl,9,1920
1Cl,9,1921
1cn,9,1922
(CCC,9,1923
)CC1,9,1924
O)c3cc,9,1925
C[C@@H]3,9,1926
)CC[C@@H,9,1927
)CC[C@@H],9,1928
c1ccc2c,9,1929
1ccc2c,9,1930
nccc,9,1931
(=O)c1ccc(,9,1932
=O)c1ccc(,9,1933
)cc3),9,1934
cc3)c,9,1935
)/,9,1936
c1O,9,1937
c1c(C,9,1938
1c(C,9,1939
C)c2,9,1940
1CC[C@@H,9,1941
1CC[C@@H],9,1942
@H]2O,9,1943
H]2O,9,1944
]2O,9,1945
(=O)c3,9,1946
(=O)c3c,9,1947
=O)c3,9,1948
=O)c3c,9,1949
cc(F)cc,9,1950
C4)c,9,1951
c1ncn,8,1952
1ncn,8,1953
ncn2,8,1954
@H](CO,8,1955
H](CO,8,1956
P(,8,1957
O)(O,8,1958
O)(O),8,1959
c3c(,8,1960
3c(,8,1961
O)n,8,1962
](O)[C@H](,8,1963
(O)[C@H](,8,1964
O)c2cc,8,1965
[NH,8,1966
NH,8,1967
cccc([,8,1968
[C@]2(,8,1969
C@]2(,8,1970
N(C)C),8,1971
c(=O)c2,8,1972
C)n,8,1973
n(C),8,1974
=O)CCC,8,1975
CCc1c,8,1976
CCc1cc,8,1977
cc(-c2c,8,1978
c3cc(,8,1979
3cc(,8,1980
cc(C(=O)O,8,1981
(C(=O)O)c,8,1982
c2)cc,8,1983
c1[,8,1984
F)C,8,1985
=C1,8,1986
C/C(=,8,1987
(/,8,1988
(/C,8,1989
)c1ccc(O),8,1990
)c1ccc(O)c,8,1991
cc1)c1cc,8,1992
c1)c1cc,8,1993
1)c1ccc,8,1994
c1cccc2,8,1995
1cccc2,8,1996
O[C@H]2,8,1997
CO[,8,1998
CO[C,8,1999
CO[C@,8,2000
@]3,8,2001
(N)(=O)=O),8,2002
N)(=O)=O),8,2003
C(=O)N2C,8,2004
(=O)N2C,8,2005
=O)N2C,8,2006
O)=C,8,2007
O)=C(,8,2008
Sc,8,2009
c3n,8,2010
nnn,8,2011
)CS[,8,2012
)CS[C,8,2013
)CS[C@,8,2014
CS[,8,2015
CS[C,8,2016
CS[C@,8,2017
c2[n,8,2018
c2[nH,8,2019
c2[nH],8,2020
2[n,8,2021
2[nH,8,2022
2[nH],8,2023
ccc(O)c(,8,2024
cc(O)c(,8,2025
c1)C(,8,2026
O)C=,8,2027
)C=,8,2028
CO)[,8,2029
CO)[C,8,2030
CO)[C@,8,2031
CN[,8,2032
CN[C,8,2033
CN[C@,8,2034
@H](C(=,8,2035
@H](C(=O,8,2036
@H](C(=O),8,2037
H](C(=,8,2038
H](C(=O,8,2039
H](C(=O),8,2040
](C(=,8,2041
](C(=O,8,2042
](C(=O),8,2043
@H]12,8,2044
H]12,8,2045
1(O,8,2046
@H]3CCC4,8,2047
@H]3CCC4=,8,2048
@H]3CCC4=C,8,2049
H]3CCC4,8,2050
H]3CCC4=,8,2051
H]3CCC4=C,8,2052
]3CCC4,8,2053
]3CCC4=,8,2054
]3CCC4=C,8,2055
3CCC4,8,2056
3CCC4=,8,2057
3CCC4=C,8,2058
4[,8,2059
@]21,8,2060
@]21C,8,2061
]21C,8,2062
21C,8,2063
)C(C)(C)C,8,2064
(C)CCC,8,2065
CCC2,8,2066
CC)CC,8,2067
CC[C@H](,8,2068
1CCN(C,8,2069
C(=O)N[C@@,8,2070
(=O)O)C,8,2071
=O)O)C,8,2072
O)O)C,8,2073
)O)C,8,2074
O)C(C,8,2075
(C)S[,8,2076
(C)S[C,8,2077
(C)S[C@,8,2078
C)S[,8,2079
C)S[C,8,2080
C)S[C@,8,2081
)S[,8,2082
)S[C,8,2083
)S[C@,8,2084
C4=CC(,8,2085
C4=CC(=,8,2086
C4=CC(=O,8,2087
C4=CC(=O),8,2088
C4=CC(=O)C,8,2089
4=CC(,8,2090
4=CC(=,8,2091
4=CC(=O,8,2092
4=CC(=O),8,2093
4=CC(=O)C,8,2094
@H]3CC[,8,2095
@H]3CC[C,8,2096
@H]3CC[C@,8,2097
H]3CC[,8,2098
H]3CC[C,8,2099
H]3CC[C@,8,2100
]3CC[,8,2101
]3CC[C,8,2102
]3CC[C@,8,2103
3CC[,8,2104
3CC[C,8,2105
3CC[C@,8,2106
C[C@]2,8,2107
NC[C@H](,8,2108
NC[C@H](O,8,2109
NC[C@H](O),8,2110
O)c1ccc(O,8,2111
)c(O),8,2112
)c(O)c,8,2113
c(O)c1,8,2114
(C)NC[,8,2115
(C)NC[C,8,2116
(C)NC[C@,8,2117
C)NC[,8,2118
C)NC[C,8,2119
C)NC[C@,8,2120
c1N,8,2121
cc([N,8,2122
cc([N+,8,2123
cc([N+],8,2124
cc([N+](,8,2125
cc([N+](=,8,2126
cc([N+](=O,8,2127
c([N,8,2128
c([N+,8,2129
c([N+],8,2130
c([N+](,8,2131
c([N+](=,8,2132
c([N+](=O,8,2133
c([N+](=O),8,2134
([N,8,2135
([N+,8,2136
([N+],8,2137
([N+](,8,2138
([N+](=,8,2139
([N+](=O,8,2140
([N+](=O),8,2141
([N+](=O)[,8,2142
](=O)[O-]),8,2143
(=O)[O-])c,8,2144
=O)[O-])c,8,2145
O)[O-])c,8,2146
)[O-])c,8,2147
[O-])c,8,2148
O-])c,8,2149
)[C@@H]1CC,8,2150
4(,8,2151
NC(=O)c1cc,8,2152
)c1cc(,8,2153
c3)cc,8,2154
)cc2)c,8,2155
(=O)N2[C@@,8,2156
=O)N2[C@@,8,2157
=O)N2[C@@H,8,2158
O)N2[C@@,8,2159
O)N2[C@@H,8,2160
O)N2[C@@H],8,2161
)N2[C@@,8,2162
)N2[C@@H,8,2163
)N2[C@@H],8,2164
)N2[C@@H]1,8,2165
N2[C@@,8,2166
N2[C@@H,8,2167
N2[C@@H],8,2168
N2[C@@H]1,8,2169
[C@@H]1C(=,8,2170
C@@H]1C(=,8,2171
C@@H]1C(=O,8,2172
@@H]1C(=,8,2173
@@H]1C(=O,8,2174
@@H]1C(=O),8,2175
1C(=O)O,8,2176
c(C(=O)N,8,2177
CC1=C,8,2178
CC1=C(,8,2179
Cc3,8,2180
cs,8,2181
)[C@@H]2,8,2182
/C=C/C(,8,2183
C=C/C(,8,2184
c2c(c1,8,2185
c2c(c1),8,2186
2c(c1,8,2187
2c(c1),8,2188
c(c1,8,2189
c(c1),8,2190
(c1),8,2191
=C[,8,2192
=C[C,8,2193
=C[C@,8,2194
cccc2c1,8,2195
cccc2c1C,8,2196
ccc2c1C,8,2197
cc2c1C,8,2198
c2c1C,8,2199
2c1C,8,2200
ccc(OCC,8,2201
CC2)c,8,2202
nc(-,8,2203
c2C,8,2204
1S,8,2205
N=C,8,2206
N=C(,8,2207
=C(\,8,2208
C(\,8,2209
(\,8,2210
C(C)=O,8,2211
(C)=O,8,2212
C)=O,8,2213
NS(=,8,2214
NS(=O,8,2215
NS(=O),8,2216
NS(=O)(,8,2217
NS(=O)(=,8,2218
NS(=O)(=O,8,2219
NS(=O)(=O),8,2220
S(=O)(=O)c,8,2221
(=O)(=O)c,8,2222
=O)(=O)c,8,2223
O)(=O)c,8,2224
)(=O)c,8,2225
(=O)N1,8,2226
Cc2ccc,8,2227
/c,8,2228
2)CC,8,2229
O)c3ccc,8,2230
C(N)=O),8,2231
(N)=O),8,2232
N)=O),8,2233
c2ccc(C,8,2234
2ccc(C,8,2235
(CN,8,2236
CCN(C)CC,8,2237
nccc(,8,2238
OCCN(,8,2239
OCCN(C,8,2240
)/C,8,2241
)c(OC),8,2242
)c(OC)c,8,2243
1OC,8,2244
CC[C@H]3,8,2245
c4ccc(,8,2246
4ccc(,8,2247
3[C@H,8,2248
3[C@H],8,2249
[C@H]1CC[,8,2250
[C@H]1CC[C,8,2251
C@H]1CC[,8,2252
C@H]1CC[C,8,2253
C@H]1CC[C@,8,2254
@H]1CC[C@@,8,2255
H]1CC[C@@,8,2256
]1CC[C@@,8,2257
(N(,8,2258
(N(C,8,2259
cc1O,8,2260
@H]1[,8,2261
@H]1[C,8,2262
@H]1[C@,8,2263
H]1[,8,2264
H]1[C,8,2265
H]1[C@,8,2266
]1[,8,2267
]1[C,8,2268
]1[C@,8,2269
[nH]cc,8,2270
nH]cc,8,2271
H]cc,8,2272
]cc,8,2273
CCO),8,2274
)N1C,8,2275
=C(N,8,2276
F)c(,8,2277
CC4),8,2278
cnc2c,7,2279
@H]1O[,7,2280
@H]1O[C,7,2281
@H]1O[C@,7,2282
H]1O[,7,2283
H]1O[C,7,2284
H]1O[C@,7,2285
]1O[,7,2286
]1O[C,7,2287
]1O[C@,7,2288
(O)O,7,2289
(O)[C@@H]1,7,2290
cc2n,7,2291
[nH]c(,7,2292
nH]c(,7,2293
H]c(,7,2294
]c(,7,2295
=N,7,2296
C\C/C=C\C/,7,2297
\C/C=C\C/,7,2298
\C/C=C\C/C,7,2299
CCCC(=,7,2300
CCCC(=O,7,2301
CCCC(=O),7,2302
c1cccc([,7,2303
1cccc([,7,2304
1c(=,7,2305
1c(=O,7,2306
1c(=O),7,2307
O)c2c(,7,2308
(n,7,2309
)n(,7,2310
)n(C,7,2311
n(C)c,7,2312
C(=O)CCC,7,2313
(=O)CCC,7,2314
(CCO,7,2315
=O)cc,7,2316
ccc(-c2,7,2317
c(C(=O)O),7,2318
c(C(=O)O)c,7,2319
2C[,7,2320
2C[C,7,2321
2C[C@,7,2322
C[C@H](C,7,2323
nc(C,7,2324
@H]1C[C@@,7,2325
@H]1C[C@@H,7,2326
H]1C[C@@,7,2327
H]1C[C@@H,7,2328
H]1C[C@@H],7,2329
]1C[C@@,7,2330
]1C[C@@H,7,2331
]1C[C@@H],7,2332
1C[C@@,7,2333
1C[C@@H,7,2334
1C[C@@H],7,2335
(CO),7,2336
1NC,7,2337
C(c,7,2338
cc1)c1ccc,7,2339
c1)c1ccc,7,2340
)OC(C,7,2341
)OC(C),7,2342
C)O,7,2343
]3(,7,2344
3(C,7,2345
C(=O)N2C(,7,2346
C(=O)N2C(C,7,2347
(=O)N2C(,7,2348
(=O)N2C(C,7,2349
(=O)N2C(C(,7,2350
=O)N2C(,7,2351
=O)N2C(C,7,2352
=O)N2C(C(,7,2353
=O)N2C(C(=,7,2354
O)N2C(C,7,2355
O)N2C(C(,7,2356
O)N2C(C(=,7,2357
O)N2C(C(=O,7,2358
)N2C(C,7,2359
)N2C(C(,7,2360
)N2C(C(=,7,2361
)N2C(C(=O,7,2362
)N2C(C(=O),7,2363
N2C(C,7,2364
N2C(C(,7,2365
N2C(C(=,7,2366
N2C(C(=O,7,2367
N2C(C(=O),7,2368
2C(C,7,2369
2C(C(,7,2370
2C(C(=,7,2371
2C(C(=O,7,2372
2C(C(=O),7,2373
C(C(=O)O)=,7,2374
(C(=O)O)=,7,2375
(C(=O)O)=C,7,2376
C(=O)O)=,7,2377
C(=O)O)=C,7,2378
C(=O)O)=C(,7,2379
(=O)O)=,7,2380
(=O)O)=C,7,2381
(=O)O)=C(,7,2382
=O)O)=,7,2383
=O)O)=C,7,2384
=O)O)=C(,7,2385
O)O)=,7,2386
O)O)=C,7,2387
O)O)=C(,7,2388
)O)=,7,2389
)O)=C,7,2390
)O)=C(,7,2391
(Cc1cc,7,2392
Cc1cc(,7,2393
cc(I,7,2394
cc(I),7,2395
cc(I)c,7,2396
c2ccc(O,7,2397
2ccc(O,7,2398
)c(I,7,2399
)c(I),7,2400
)c(I)c,7,2401
c1)C(=,7,2402
c1)C(=O,7,2403
c1)C(=O),7,2404
1O[C@@,7,2405
1O[C@@H,7,2406
1O[C@@H],7,2407
O)[C@H]1,7,2408
N[C@H](,7,2409
N[C@H](C,7,2410
3)[,7,2411
3)[C,7,2412
3)[C@,7,2413
@]1(O,7,2414
]1(O,7,2415
CCC4=CC,7,2416
CC4=CC,7,2417
[C@@H]4,7,2418
C@@H]4,7,2419
@@H]4,7,2420
C[C@@]2,7,2421
[C@@]2,7,2422
C@@]2,7,2423
@@]2,7,2424
(c1c,7,2425
(c1cc,7,2426
c1cc2c,7,2427
c1cc2c(,7,2428
1cc2c,7,2429
1cc2c(,7,2430
2(C,7,2431
CCN(CC)CC,7,2432
CN(CC)CC,7,2433
N(CC)CC,7,2434
(CC)CC,7,2435
[C@H](O)c,7,2436
C@H](O)c,7,2437
2nc(,7,2438
)s,7,2439
CCN1,7,2440
CN1CC,7,2441
N1CCN,7,2442
N1CCN(,7,2443
CCN(C(,7,2444
CN(C(,7,2445
N(C(,7,2446
3[C@@,7,2447
3[C@@H,7,2448
3[C@@H],7,2449
C(=O)O)C,7,2450
C(=O)O)C(,7,2451
(=O)O)C(,7,2452
=O)O)C(,7,2453
O)O)C(,7,2454
)O)C(,7,2455
O)C(C),7,2456
O)C(C)(,7,2457
O)C(C)(C,7,2458
O)C(C)(C),7,2459
(C)S[C@@,7,2460
(C)S[C@@H,7,2461
(C)S[C@@H],7,2462
C)S[C@@,7,2463
C)S[C@@H,7,2464
C)S[C@@H],7,2465
C)S[C@@H]2,7,2466
)S[C@@,7,2467
)S[C@@H,7,2468
)S[C@@H],7,2469
)S[C@@H]2,7,2470
C[C@@H](C,7,2471
)N(,7,2472
4=CC(=O)CC,7,2473
=CC(=O)CC,7,2474
CC(=O)CC,7,2475
(O)c1ccc(O,7,2476
O)COc,7,2477
O)COc1,7,2478
)COc,7,2479
)COc1,7,2480
H]1c1cccc(,7,2481
]1c1cccc(,7,2482
1c1cccc(,7,2483
cccc([N,7,2484
cccc([N+,7,2485
cccc([N+],7,2486
cccc([N+](,7,2487
ccc([N,7,2488
ccc([N+,7,2489
ccc([N+],7,2490
ccc([N+](,7,2491
ccc([N+](=,7,2492
=O)[O-])c1,7,2493
O)[O-])c1,7,2494
)[O-])c1,7,2495
[O-])c1,7,2496
O-])c1,7,2497
-])c1,7,2498
])c1,7,2499
1CC[C@H,7,2500
1CC[C@H],7,2501
@]4(,7,2502
]4(,7,2503
4(C,7,2504
CNC(=O)c1,7,2505
CNC(=O)c1c,7,2506
c1cc(O,7,2507
1cc(O,7,2508
ccc(NC,7,2509
ccc(NC(,7,2510
ccc(NC(=,7,2511
ccc(NC(=O,7,2512
ccc(NC(=O),7,2513
C(=O)Nc3,7,2514
(=O)Nc3,7,2515
=O)Nc3,7,2516
O)Nc3,7,2517
)Nc3,7,2518
Nc3ccc(,7,2519
Cl)c(,7,2520
l)c(,7,2521
(C(F,7,2522
(C(F),7,2523
(C(F)(,7,2524
(C(F)(F,7,2525
